GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PPROG_1NB_1171343_1161874_TP,pt.ipp.isep.biblioteca,Data,268,204,34,0,41,23,32,5,15,5
PPROG_1NB_1171343_1161874_TP,pt.ipp.isep.pprog_1nb_1171343_1161874_tp,Main,261,0,6,0,36,0,8,0,5,0
PPROG_1NB_1171343_1161874_TP,pt.ipp.isep.pprog_1nb_1171343_1161874_tp,AtletaSemiProfissional,68,20,10,0,13,5,12,2,7,2
PPROG_1NB_1171343_1161874_TP,pt.ipp.isep.pprog_1nb_1171343_1161874_tp,AtletaAmador,52,47,8,2,12,9,12,3,7,3
PPROG_1NB_1171343_1161874_TP,pt.ipp.isep.pprog_1nb_1171343_1161874_tp,ClubeDesportivo.CompararPremio,24,0,4,0,6,0,4,0,2,0
PPROG_1NB_1171343_1161874_TP,pt.ipp.isep.pprog_1nb_1171343_1161874_tp,Atleta,324,37,18,0,53,12,33,4,24,4
PPROG_1NB_1171343_1161874_TP,pt.ipp.isep.pprog_1nb_1171343_1161874_tp,ClubeDesportivo,93,66,6,0,20,18,10,7,7,7
PPROG_1NB_1171343_1161874_TP,pt.ipp.isep.pprog_1nb_1171343_1161874_tp,ClubeDesportivo.CompararCategoriaModalidadeNome,30,0,4,0,7,0,4,0,2,0
PPROG_1NB_1171343_1161874_TP,pt.ipp.isep.pprog_1nb_1171343_1161874_tp,AtletaProfissional,48,30,0,0,13,7,8,3,8,3
PPROG_1NB_1171343_1161874_TP,pt.ipp.isep.pprog_1nb_1171343_1161874_tp,AtletaNaoProfissional,42,25,0,0,14,8,8,4,8,4
